iter	Passed	Remaining
0	155	155678
1	158	79032
2	160	53289
3	163	40614
4	166	33062
5	168	27853
6	172	24404
7	173	21554
8	175	19364
9	178	17681
10	181	16278
11	182	15022
12	185	14068
13	186	13153
14	188	12359
15	190	11719
16	193	11177
17	194	10629
18	196	10147
19	200	9803
20	201	9402
21	203	9046
22	206	8767
23	209	8514
24	211	8232
25	212	7975
26	214	7737
27	216	7521
28	219	7351
29	221	7170
30	223	6973
31	224	6788
32	226	6635
33	228	6480
34	229	6331
35	231	6211
36	235	6123
37	236	5999
38	238	5876
39	241	5804
40	243	5703
41	246	5631
42	249	5554
43	251	5464
44	253	5374
45	256	5319
46	258	5240
47	260	5173
48	263	5112
49	264	5031
50	266	4954
51	268	4903
52	270	4831
53	271	4763
54	274	4713
55	276	4666
56	278	4610
57	279	4547
58	281	4488
59	284	4461
60	286	4412
61	288	4362
62	290	4325
63	293	4290
64	294	4239
65	296	4189
66	299	4166
67	301	4129
68	304	4104
69	306	4075
70	308	4030
71	309	3986
72	310	3945
73	314	3939
74	316	3909
75	320	3893
76	323	3875
77	325	3845
78	329	3838
79	331	3811
80	334	3795
81	337	3775
82	338	3737
83	340	3709
84	344	3708
85	347	3692
86	350	3678
87	353	3663
88	355	3638
89	358	3627
90	361	3607
91	364	3597
92	367	3586
93	369	3562
94	373	3558
95	375	3539
96	378	3521
97	381	3509
98	383	3493
99	387	3484
100	389	3467
101	392	3452
102	394	3439
103	397	3423
104	399	3406
105	404	3407
106	406	3395
107	410	3394
108	413	3376
109	416	3371
110	418	3354
111	420	3336
112	423	3326
113	426	3315
114	428	3296
115	431	3290
116	433	3268
117	435	3254
118	437	3240
119	440	3229
120	442	3216
121	444	3196
122	446	3186
123	450	3182
124	454	3184
125	456	3167
126	457	3146
127	460	3133
128	461	3116
129	463	3099
130	465	3086
131	467	3074
132	469	3059
133	470	3041
134	472	3028
135	474	3014
136	476	3003
137	479	2997
138	483	2994
139	484	2978
140	487	2971
141	488	2953
142	490	2938
143	492	2924
144	494	2916
145	497	2909
146	498	2895
147	500	2879
148	503	2874
149	504	2861
150	506	2849
151	509	2840
152	511	2830
153	512	2817
154	514	2803
155	518	2804
156	521	2797
157	524	2795
158	527	2789
159	535	2810
160	537	2799
161	540	2793
162	542	2783
163	543	2773
164	549	2780
165	554	2788
166	565	2819
167	567	2812
168	570	2805
169	572	2793
170	579	2810
171	582	2802
172	586	2804
173	594	2822
174	600	2830
175	602	2819
176	608	2831
177	611	2823
178	615	2821
179	620	2827
180	624	2825
181	628	2825
182	631	2820
183	643	2853
184	647	2852
185	655	2870
186	660	2871
187	663	2865
188	669	2872
189	673	2872
190	677	2868
191	680	2865
192	683	2858
193	686	2852
194	690	2850
195	693	2843
196	697	2842
197	700	2837
198	703	2832
199	705	2822
200	711	2828
201	714	2824
202	718	2821
203	720	2813
204	728	2825
205	732	2824
206	739	2832
207	746	2843
208	751	2842
209	756	2845
210	760	2842
211	764	2840
212	766	2832
213	772	2836
214	774	2827
215	776	2820
216	779	2813
217	781	2802
218	782	2791
219	786	2789
220	789	2784
221	794	2783
222	800	2789
223	803	2782
224	807	2780
225	810	2777
226	814	2774
227	816	2765
228	818	2755
229	824	2758
230	825	2748
231	829	2745
232	831	2735
233	839	2748
234	841	2738
235	844	2735
236	846	2725
237	849	2718
238	853	2716
239	855	2708
240	856	2698
241	865	2710
242	868	2706
243	870	2697
244	871	2686
245	877	2689
246	880	2683
247	883	2677
248	885	2671
249	887	2662
250	892	2661
251	894	2655
252	897	2650
253	900	2643
254	901	2634
255	905	2632
256	909	2628
257	912	2624
258	916	2621
259	927	2639
260	930	2634
261	932	2626
262	942	2639
263	945	2637
264	947	2627
265	952	2627
266	954	2621
267	958	2617
268	961	2611
269	965	2611
270	968	2604
271	970	2596
272	974	2594
273	975	2585
274	979	2582
275	988	2593
276	991	2586
277	1002	2604
278	1007	2602
279	1011	2600
280	1014	2595
281	1027	2616
282	1032	2616
283	1036	2613
284	1041	2612
285	1046	2611
286	1051	2611
287	1053	2604
288	1058	2603
289	1061	2599
290	1064	2594
291	1075	2608
292	1079	2604
293	1081	2595
294	1087	2598
295	1091	2595
296	1095	2592
297	1099	2590
298	1104	2588
299	1107	2583
300	1110	2577
301	1111	2570
302	1120	2578
303	1124	2575
304	1131	2577
305	1137	2580
306	1142	2577
307	1146	2576
308	1149	2570
309	1152	2564
310	1154	2557
311	1156	2550
312	1167	2562
313	1170	2556
314	1171	2547
315	1176	2547
316	1179	2541
317	1181	2533
318	1183	2527
319	1186	2520
320	1190	2518
321	1195	2518
322	1198	2511
323	1200	2505
324	1202	2496
325	1207	2495
326	1209	2490
327	1212	2483
328	1214	2476
329	1216	2469
330	1217	2461
331	1223	2462
332	1226	2456
333	1228	2450
334	1230	2443
335	1232	2435
336	1238	2436
337	1240	2429
338	1243	2424
339	1246	2418
340	1247	2411
341	1255	2415
342	1261	2415
343	1270	2423
344	1275	2422
345	1282	2423
346	1285	2419
347	1288	2414
348	1291	2408
349	1295	2406
350	1298	2400
351	1305	2402
352	1306	2395
353	1311	2392
354	1313	2385
355	1315	2379
356	1317	2373
357	1319	2366
358	1321	2358
359	1325	2355
360	1328	2351
361	1331	2347
362	1335	2343
363	1341	2343
364	1344	2339
365	1349	2338
366	1351	2331
367	1356	2329
368	1358	2323
369	1363	2321
370	1366	2317
371	1371	2315
372	1376	2313
373	1380	2310
374	1387	2313
375	1392	2310
376	1396	2308
377	1398	2301
378	1401	2296
379	1405	2293
380	1409	2290
381	1413	2287
382	1416	2281
383	1422	2281
384	1425	2277
385	1433	2279
386	1438	2278
387	1440	2272
388	1444	2268
389	1446	2262
390	1448	2256
391	1451	2251
392	1454	2247
393	1456	2240
394	1460	2236
395	1461	2229
396	1464	2224
397	1467	2219
398	1469	2213
399	1473	2210
400	1477	2206
401	1480	2202
402	1483	2197
403	1485	2190
404	1488	2186
405	1491	2182
406	1496	2180
407	1499	2175
408	1503	2172
409	1505	2166
410	1509	2162
411	1512	2158
412	1514	2151
413	1517	2148
414	1519	2141
415	1521	2136
416	1524	2130
417	1526	2125
418	1528	2118
419	1529	2112
420	1530	2105
421	1533	2100
422	1536	2096
423	1539	2091
424	1542	2087
425	1544	2080
426	1546	2075
427	1548	2069
428	1551	2065
